AnalyzedText	AnalysisDataURN	TextDeformation
urn:cts:greekLit:tlg0012.tlg001.msA:1.1@Μῆνιν[1]	urn:cite:hmt:tokentypes.lexical	Μῆνιν
urn:cts:greekLit:tlg0012.tlg001.msA:1.1@ἄειδε[1]	urn:cite:hmt:tokentypes.lexical	ἄειδε
urn:cts:greekLit:tlg0012.tlg001.msA:1.1@θεὰ[1]	urn:cite:hmt:tokentypes.lexical	θεὰ
urn:cts:greekLit:tlg0012.tlg001.msA:1.1@Πηληϊάδεω Ἀχιλῆος[1]	urn:cite:hmt:pers.pers1	Πηληϊάδεω Ἀχιλῆος
urn:cts:greekLit:tlg0012.tlg001.msA:1.2@οὐλομένην[1]	urn:cite:hmt:tokentypes.lexical	οὐλομένην
urn:cts:greekLit:tlg0012.tlg001.msA:1.2@·[1]	urn:cite:hmt:tokentypes.punctuation	·
urn:cts:greekLit:tlg0012.tlg001.msA:1.2@ἡ[1]	urn:cite:hmt:tokentypes.lexical	ἡ
urn:cts:greekLit:tlg0012.tlg001.msA:1.2@μυρί'[1]	urn:cite:hmt:tokentypes.lexical	μυρί'
urn:cts:greekLit:tlg0012.tlg001.msA:1.2@Ἀχαιοῖς[1]	urn:cite:hmt:peoples.place96	Ἀχαιοῖς
urn:cts:greekLit:tlg0012.tlg001.msA:1.2@ἄλγε'[1]	urn:cite:hmt:tokentypes.lexical	ἄλγε'
urn:cts:greekLit:tlg0012.tlg001.msA:1.2@ἔθηκεν[1]	urn:cite:hmt:tokentypes.lexical	ἔθηκεν
urn:cts:greekLit:tlg0012.tlg001.msA:1.2@·[2]	urn:cite:hmt:tokentypes.punctuation	·
urn:cts:greekLit:tlg0012.tlg001.msA:1.3@πολλὰς[1]	urn:cite:hmt:tokentypes.lexical	πολλὰς
urn:cts:greekLit:tlg0012.tlg001.msA:1.3@δ'[1]	urn:cite:hmt:tokentypes.lexical	δ'
urn:cts:greekLit:tlg0012.tlg001.msA:1.3@ἰφθίμους[1]	urn:cite:hmt:tokentypes.lexical	ἰφθίμους
urn:cts:greekLit:tlg0012.tlg001.msA:1.3@ψυχὰς[1]	urn:cite:hmt:tokentypes.lexical	ψυχὰς
urn:cts:greekLit:tlg0012.tlg001.msA:1.3@Ἄϊδι[1]	urn:cite:hmt:place.place67	Ἄϊδι
urn:cts:greekLit:tlg0012.tlg001.msA:1.3@προΐαψεν[1]	urn:cite:hmt:tokentypes.lexical	προΐαψεν
urn:cts:greekLit:tlg0012.tlg001.msA:1.4@ἡρώων[1]	urn:cite:hmt:tokentypes.lexical	ἡρώων
urn:cts:greekLit:tlg0012.tlg001.msA:1.4@·[1]	urn:cite:hmt:tokentypes.punctuation	·
